Year,Fertility,Birth_Rate,Population,Growth
1960,3.654,23.7,180671000,
1961,3.62,23.3,183691000,1.657730037
1962,3.461,22.4,186538000,1.537997358
1963,3.319,21.7,189242000,1.439164762
1964,3.19,21.1,191889000,1.389046055
1965,2.913,19.4,194303000,1.250171646
1966,2.721,18.4,196560000,1.154893191
1967,2.558,17.8,198712000,1.088881207
1968,2.464,17.6,200706000,0.998461044
1969,2.456,17.9,202677000,0.977242812
1970,2.48,18.4,205052000,1.165002667
1971,2.266,17.2,207661000,1.264333692
1972,2.01,15.6,209896000,1.070522752
1973,1.879,14.8,211909000,0.954476729
1974,1.835,14.8,213854000,0.913660196
1975,1.774,14.6,215973000,0.985986067
1976,1.738,14.6,218035000,0.950220049
1977,1.79,15.1,220239000,1.005771996
1978,1.76,15,222585000,1.05957308
1979,1.808,15.6,225055000,1.103576565
1980,1.8395,15.9,227225000,0.959589923
1981,1.812,15.8,229466000,0.981415437
1982,1.8275,15.9,231664000,0.953317566
1983,1.799,15.6,233792000,0.914378513
1984,1.8065,15.6,235825000,0.865817336
1985,1.844,15.8,237924000,0.886129041
1986,1.8375,15.6,240133000,0.924164157
1987,1.872,15.7,242289000,0.893829201
1988,1.934,16,244499000,0.90799904
1989,2.014,16.4,246819000,0.944405555
1990,2.081,16.7,249623000,1.12965052
1991,2.0625,16.2,252981000,1.336260741
1992,2.046,15.8,256514000,1.386885692
1993,2.0195,15.4,259919000,1.31868
1994,2.0015,15,263126000,1.226296089
1995,1.978,14.6,266278000,1.190787091
1996,1.976,14.4,269394000,1.16341162
1997,1.971,14.2,272657000,1.203960297
1998,1.999,14.3,275854000,1.165714526
1999,2.0075,14.2,279040000,1.148340047
2000,2.056,14.4,282162411,1.112768997
2001,2.0305,14.1,284968955,0.989741382
2002,2.0205,14,287625193,0.927797486
2003,2.0475,14.1,290107933,0.859481713
2004,2.0515,14,292805298,0.925483969
2005,2.057,14,295516599,0.921713167
2006,2.108,14.3,298379912,0.964253917
2007,2.12,14.3,301231207,0.951055243
2008,2.072,14,304093966,0.945865287
2009,2.002,13.5,306771529,0.876651299
2010,1.931,13,309327143,0.829616675
2011,1.8945,12.7,311583481,0.726786705
2012,1.8805,12.6,313877662,0.733599941
2013,1.8575,12.4,316059947,0.692860277
2014,1.8625,12.5,318386329,0.73336152
2015,1.8435,12.4,320738994,0.736217309
2016,1.8205,12.2,323071755,0.724676067
2017,1.7655,11.8,325122128,0.632643995
2018,1.7295,11.6,326838199,0.526435396
2019,1.705,11.4,328329953,0.455381286
2020,,,329484123,0.350911063
2021,,,331353000,
2022,,,333207000,
2023,,,335044000,
2024,,,336869000,
2025,1.788,12.011,338688000,
2026,,,340500000,
2027,,,342296000,
2028,,,344071000,
2029,,,345825000,
2030,1.795,11.829,347562000,
2031,,,349283000,
2032,,,350981000,
2033,,,352645000,
2034,,,354265000,
2035,1.798,11.526,355834000,
2036,,,357351000,
2037,,,358817000,
2038,,,360235000,
2039,,,361609000,
2040,1.801,11.232,362943000,
2041,,,364238000,
2042,,,365500000,
2043,,,366733000,
2044,,,367941000,
2045,1.804,10.992,369129000,
2046,,,370306000,
2047,,,371476000,
2048,,,372644000,
2049,,,373815000,
2050,1.808,10.872,374959000,
