Year,AFE-GNN,AFE-fert,AFW-GNN,AFW-fert
1981,1433.276807,6.690097226,1355.388838,6.85419535
1982,1398.623814,6.663041543,1277.209652,6.838567852
1983,1345.594096,6.633643733,1154.03161,6.816308638
1984,1352.061488,6.597500669,1137.768098,6.788058072
1985,1292.350799,6.555029515,1162.524848,6.754004249
1986,1270.828438,6.505685667,1139.220302,6.713787334
1987,1283.665662,6.447605594,1108.540375,6.668965813
1988,1298.61635,6.383627433,1157.701392,6.620662874
1989,1302.389824,6.311511167,1118.42105,6.570139894
1990,1261.648939,6.234900963,1164.590457,6.51814633
1991,1232.405997,6.153273661,1145.525231,6.465487774
1992,1193.546691,6.072895894,1137.174086,6.412091673
1993,1183.135385,5.997354726,1071.819659,6.358929587
1994,1182.570722,5.927070654,1052.108949,6.306823677
1995,1196.735106,5.861960989,1043.069713,6.256944891
1996,1222.998772,5.800563047,1063.523577,6.208204552
1997,1230.968857,5.741203229,1075.755153,6.161530621
1998,1217.253017,5.68403287,1084.591307,6.116602009
1999,1213.910937,5.628409024,1077.971546,6.07312772
2000,1227.394548,5.573420635,1024.093575,6.031044128
2001,1234.136962,5.519798023,1086.050631,5.989972481
2002,1269.13969,5.468439023,1172.428401,5.949390563
2003,1285.348521,5.418054778,1204.090742,5.908659189
2004,1322.020374,5.369067382,1263.293181,5.867799512
2005,1368.380133,5.319319874,1297.133013,5.826674482
2006,1413.593563,5.267323783,1403.966362,5.784452019
2007,1469.992914,5.213181254,1419.36332,5.741847435
2008,1488.65016,5.155492943,1465.907537,5.698842059
2009,1482.368144,5.093841084,1519.845216,5.654398346
2010,1499.683904,5.027697539,1564.01791,5.607672102
2011,1516.818336,4.956841766,1595.389671,5.557871828
2012,1535.243588,4.882058153,1640.485585,5.503781351
2013,1555.791412,4.804515752,1697.005764,5.446144031
2014,1580.063965,4.726220442,1778.87702,5.384335894
2015,1581.561858,4.64763738,1794.444568,5.319473417
2016,1562.395152,4.569674667,1750.305156,5.25167419
2017,1554.685533,4.493744221,1728.391671,5.182391075
2018,1540.958476,4.420263916,1715.28588,5.113002617
2019,1521.018408,4.349432929,1733.498278,5.044144414
